,unique_key,created_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,status,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,:@computed_region_efsh_h5xi,:@computed_region_f5dn_yrer,:@computed_region_yeji_bk3q,:@computed_region_92fq_4b7q,:@computed_region_sbqj_enih,resolution_description,resolution_action_updated_date,bridge_highway_name,bridge_highway_segment,closed_date,road_ramp,facility_type,bridge_highway_direction,taxi_company_borough,taxi_pick_up_location,vehicle_type,due_date
42829,54027141,2022-04-27T15:55:35.000,DOHMH,Department of Health and Mental Hygiene,Construction Lead Dust,Coming into Apartment,3+ Family Apartment Building,10026.0,1925 ADAM CLAYTON POWELL JR BOULEVARD,ADAM CLAYTON POWELL JR BOULEVARD,DR REV WYATT TEE WALKER SQUARE,WEST  117 STREET,DR REV WYATT TEE WALKER SQUARE,WEST  117 STREET,ADDRESS,NEW YORK,7 AVENUE,In Progress,10 MANHATTAN,1019010001.0,MANHATTAN,997439.0,231993.0,PHONE,Unspecified,MANHATTAN,40.80343327648868,-73.95236059020847,"{'latitude': '40.803433276488676', 'longitude': '-73.95236059020847', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",12423.0,18.0,4.0,36.0,18.0,,,,,,,,,,,,
46616,54025011,2022-04-27T07:52:54.000,DOHMH,Department of Health and Mental Hygiene,Construction Lead Dust,In Common Areas,3+ Family Apartment Building,10026.0,1864 7 AVENUE,7 AVENUE,WEST  113 STREET,WEST  114 STREET,WEST  113 STREET,WEST  114 STREET,ADDRESS,NEW YORK,7 AVENUE,In Progress,10 MANHATTAN,1018290029.0,MANHATTAN,997020.0,231247.0,ONLINE,Unspecified,MANHATTAN,40.801386326765765,-73.95387546033507,"{'latitude': '40.801386326765765', 'longitude': '-73.95387546033507', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",12423.0,18.0,4.0,36.0,18.0,,,,,,,,,,,,
48450,54012401,2022-04-26T21:51:29.000,DOHMH,Department of Health and Mental Hygiene,Construction Lead Dust,Coming into Apartment,3+ Family Apartment Building,10024.0,175 WEST   87 STREET,WEST   87 STREET,COLUMBUS AVENUE,AMSTERDAM AVENUE,COLUMBUS AVENUE,AMSTERDAM AVENUE,ADDRESS,NEW YORK,WEST   87 STREET,In Progress,07 MANHATTAN,1012180001.0,MANHATTAN,991559.0,226361.0,PHONE,Unspecified,MANHATTAN,40.78798178518925,-73.97360560880402,"{'latitude': '40.78798178518925', 'longitude': '-73.97360560880402', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",12421.0,20.0,4.0,19.0,15.0,,,,,,,,,,,,
51714,54015591,2022-04-26T12:53:25.000,DOHMH,Department of Health and Mental Hygiene,Construction Lead Dust,Coming into Apartment,3+ Family Apartment Building,11238.0,392 ST JOHNS PLACE,ST JOHNS PLACE,UNDERHILL AVENUE,WASHINGTON AVENUE,UNDERHILL AVENUE,WASHINGTON AVENUE,ADDRESS,BROOKLYN,ST JOHNS PLACE,In Progress,08 BROOKLYN,3011760027.0,BROOKLYN,993985.0,184832.0,PHONE,Unspecified,BROOKLYN,40.67399254264372,-73.96490487951367,"{'latitude': '40.67399254264372', 'longitude': '-73.96490487951367', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",13829.0,16.0,2.0,48.0,49.0,,,,,,,,,,,,
53450,54015592,2022-04-26T09:38:48.000,DOHMH,Department of Health and Mental Hygiene,Construction Lead Dust,Common Areas and Apartment,3+ Family Apartment Building,11236.0,2085 ROCKAWAY PARKWAY,ROCKAWAY PARKWAY,SEAVIEW AVENUE,SKIDMORE AVENUE,SEAVIEW AVENUE,SKIDMORE AVENUE,ADDRESS,BROOKLYN,ROCKAWAY PARKWAY,In Progress,18 BROOKLYN,3083290225.0,BROOKLYN,1015543.0,169402.0,PHONE,Unspecified,BROOKLYN,40.63159063617141,-73.88725895189349,"{'latitude': '40.63159063617141', 'longitude': '-73.88725895189349', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",13827.0,5.0,2.0,8.0,42.0,,,,,,,,,,,,
53886,54016651,2022-04-26T08:52:36.000,DOHMH,Department of Health and Mental Hygiene,Construction Lead Dust,Common Areas and Apartment,3+ Family Apartment Building,10002.0,151 NORFOLK STREET,NORFOLK STREET,RIVINGTON STREET,STANTON STREET,RIVINGTON STREET,STANTON STREET,ADDRESS,NEW YORK,NORFOLK STREET,In Progress,03 MANHATTAN,1003540022.0,MANHATTAN,988031.0,201729.0,ONLINE,Unspecified,MANHATTAN,40.72037541937055,-73.98635983608895,"{'latitude': '40.72037541937055', 'longitude': '-73.98635983608895', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",11723.0,70.0,4.0,32.0,4.0,,,,,,,,,,,,
58563,54003272,2022-04-25T15:31:30.000,DOHMH,Department of Health and Mental Hygiene,Construction Lead Dust,Coming into Apartment,3+ Family Apartment Building,11230.0,1651 CONEY ISLAND AVENUE,CONEY ISLAND AVENUE,CHESTNUT AVENUE,ELM AVENUE,CHESTNUT AVENUE,ELM AVENUE,ADDRESS,BROOKLYN,CONEY ISLAND AVENUE,In Progress,14 BROOKLYN,3067400085.0,BROOKLYN,994328.0,164091.0,ONLINE,Unspecified,BROOKLYN,40.61706259541677,-73.96369933489545,"{'latitude': '40.61706259541677', 'longitude': '-73.96369933489545', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",13513.0,60.0,2.0,15.0,43.0,,,,,,,,,,,,
59532,54007880,2022-04-25T13:22:43.000,DOHMH,Department of Health and Mental Hygiene,Construction Lead Dust,Coming into Apartment,3+ Family Apartment Building,11235.0,611 BANNER AVENUE,BANNER AVENUE,BRIGHTON    6 STREET,BRIGHTON    7 STREET,BRIGHTON    6 STREET,BRIGHTON    7 STREET,ADDRESS,BROOKLYN,BANNER AVENUE,In Progress,13 BROOKLYN,3072427501.0,BROOKLYN,994530.0,151711.0,PHONE,Unspecified,BROOKLYN,40.58308177560426,-73.96299057689384,"{'latitude': '40.58308177560426', 'longitude': '-73.96299057689384', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",13826.0,21.0,2.0,15.0,35.0,,,,,,,,,,,,
61753,54003273,2022-04-25T09:36:05.000,DOHMH,Department of Health and Mental Hygiene,Construction Lead Dust,Common Areas and Apartment,3+ Family Apartment Building,11432.0,88-15 168 STREET,168 STREET,88 AVENUE,89 AVENUE,88 AVENUE,89 AVENUE,ADDRESS,JAMAICA,168 STREET,In Progress,12 QUEENS,4098190003.0,QUEENS,1041298.0,197707.0,PHONE,Unspecified,QUEENS,40.70915288846408,-73.79423068611376,"{'latitude': '40.70915288846408', 'longitude': '-73.79423068611376', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",24340.0,41.0,3.0,6.0,61.0,,,,,,,,,,,,
75152,53988459,2022-04-23T16:13:47.000,DOHMH,Department of Health and Mental Hygiene,Construction Lead Dust,Coming into Apartment,3+ Family Apartment Building,11372.0,83-09 35 AVENUE,35 AVENUE,83 STREET,84 STREET,83 STREET,84 STREET,ADDRESS,JACKSON HEIGHTS,35 AVENUE,In Progress,03 QUEENS,4014440032.0,QUEENS,1016511.0,213240.0,PHONE,Unspecified,QUEENS,40.75191222794767,-73.88356154982209,"{'latitude': '40.75191222794767', 'longitude': '-73.88356154982209', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",14783.0,65.0,3.0,5.0,73.0,,,,,,,,,,,,
76288,53991610,2022-04-23T12:39:36.000,DOHMH,Department of Health and Mental Hygiene,Construction Lead Dust,Coming into Apartment,3+ Family Apartment Building,11235.0,611 BANNER AVENUE,BANNER AVENUE,BRIGHTON    6 STREET,BRIGHTON    7 STREET,BRIGHTON    6 STREET,BRIGHTON    7 STREET,ADDRESS,BROOKLYN,BANNER AVENUE,In Progress,13 BROOKLYN,3072427501.0,BROOKLYN,994530.0,151711.0,PHONE,Unspecified,BROOKLYN,40.58308177560426,-73.96299057689384,"{'latitude': '40.58308177560426', 'longitude': '-73.96299057689384', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",13826.0,21.0,2.0,15.0,35.0,,,,,,,,,,,,
77106,53992659,2022-04-23T10:25:17.000,DOHMH,Department of Health and Mental Hygiene,Construction Lead Dust,Coming into Apartment,3+ Family Apartment Building,11235.0,611 BANNER AVENUE,BANNER AVENUE,BRIGHTON    6 STREET,BRIGHTON    7 STREET,BRIGHTON    6 STREET,BRIGHTON    7 STREET,ADDRESS,BROOKLYN,BANNER AVENUE,In Progress,13 BROOKLYN,3072427501.0,BROOKLYN,994530.0,151711.0,PHONE,Unspecified,BROOKLYN,40.58308177560426,-73.96299057689384,"{'latitude': '40.58308177560426', 'longitude': '-73.96299057689384', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",13826.0,21.0,2.0,15.0,35.0,,,,,,,,,,,,
81633,53982962,2022-04-22T18:36:07.000,DOHMH,Department of Health and Mental Hygiene,Construction Lead Dust,Common Areas and Apartment,3+ Family Apartment Building,11102.0,32-05 NEWTOWN AVENUE,NEWTOWN AVENUE,32 STREET,30 AVENUE,32 STREET,30 AVENUE,ADDRESS,ASTORIA,NEWTOWN AVENUE,In Progress,01 QUEENS,4006190006.0,QUEENS,1006357.0,218635.0,PHONE,Unspecified,QUEENS,40.76675133170873,-73.92019224614609,"{'latitude': '40.76675133170873', 'longitude': '-73.92019224614609', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",16859.0,39.0,3.0,4.0,72.0,,,,,,,,,,,,
83188,53981875,2022-04-22T14:29:27.000,DOHMH,Department of Health and Mental Hygiene,Construction Lead Dust,In Common Areas,3+ Family Apartment Building,11238.0,566 VANDERBILT AVENUE,VANDERBILT AVENUE,DEAN STREET,BERGEN STREET,DEAN STREET,BERGEN STREET,ADDRESS,BROOKLYN,VANDERBILT AVENUE,In Progress,08 BROOKLYN,3011370054.0,BROOKLYN,993087.0,186910.0,ONLINE,Unspecified,BROOKLYN,40.67969712513283,-73.9681394856072,"{'latitude': '40.67969712513283', 'longitude': '-73.9681394856072', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",13829.0,16.0,2.0,48.0,50.0,,,,,,,,,,,,
89246,53971937,2022-04-21T18:26:44.000,DOHMH,Department of Health and Mental Hygiene,Construction Lead Dust,Coming into Apartment,3+ Family Apartment Building,11249.0,90 BERRY STREET,BERRY STREET,NORTH    9 STREET,NORTH    8 STREET,NORTH    9 STREET,NORTH    8 STREET,ADDRESS,BROOKLYN,BERRY STREET,In Progress,01 BROOKLYN,3023100027.0,BROOKLYN,995849.0,201391.0,PHONE,Unspecified,BROOKLYN,40.719440894954815,-73.95815655959656,"{'latitude': '40.719440894954815', 'longitude': '-73.95815655959656', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",17613.0,36.0,2.0,38.0,57.0,,,,,,,,,,,,
91643,53973109,2022-04-21T12:25:34.000,DOHMH,Department of Health and Mental Hygiene,Construction Lead Dust,In Common Areas,3+ Family Apartment Building,10028.0,1264 LEXINGTON AVENUE,LEXINGTON AVENUE,PARK AVENUE,LEXINGTON AVENUE,PARK AVENUE,LEXINGTON AVENUE,ADDRESS,NEW YORK,LEXINGTON AVENUE,In Progress,08 MANHATTAN,1015140016.0,MANHATTAN,996381.0,223077.0,PHONE,Unspecified,MANHATTAN,40.7789627763376,-73.95619824874713,"{'latitude': '40.7789627763376', 'longitude': '-73.95619824874713', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",12425.0,23.0,4.0,51.0,11.0,,,,,,,,,,,,
92522,53969725,2022-04-21T10:56:27.000,DOHMH,Department of Health and Mental Hygiene,Construction Lead Dust,In Common Areas,3+ Family Apartment Building,11213.0,234 SCHENECTADY AVENUE,SCHENECTADY AVENUE,STERLING PLACE,ST JOHNS PLACE,STERLING PLACE,ST JOHNS PLACE,ADDRESS,BROOKLYN,SCHENECTADY AVENUE,In Progress,08 BROOKLYN,3013770032.0,BROOKLYN,1002646.0,183835.0,ONLINE,Unspecified,BROOKLYN,40.67124224108342,-73.9336843083173,"{'latitude': '40.67124224108342', 'longitude': '-73.9336843083173', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",17615.0,16.0,2.0,48.0,49.0,,,,,,,,,,,,
92855,53975202,2022-04-21T10:11:02.000,DOHMH,Department of Health and Mental Hygiene,Construction Lead Dust,In Common Areas,3+ Family Apartment Building,11231.0,637 HENRY STREET,HENRY STREET,3 PLACE,4 PLACE,3 PLACE,4 PLACE,ADDRESS,BROOKLYN,HENRY STREET,In Progress,06 BROOKLYN,3003700002.0,BROOKLYN,983783.0,186791.0,ONLINE,Unspecified,BROOKLYN,40.67937489585236,-74.00168369220344,"{'latitude': '40.679374895852355', 'longitude': '-74.00168369220344', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",13514.0,14.0,2.0,27.0,48.0,,,,,,,,,,,,
93296,53970837,2022-04-21T09:24:41.000,DOHMH,Department of Health and Mental Hygiene,Construction Lead Dust,In Common Areas,3+ Family Apartment Building,10452.0,957 WOODYCREST AVENUE,WOODYCREST AVENUE,WEST  162 STREET,WEST  163 STREET,WEST  162 STREET,WEST  163 STREET,ADDRESS,BRONX,WOODYCREST AVENUE,In Progress,04 BRONX,2025110068.0,BRONX,1003936.0,242233.0,ONLINE,Unspecified,BRONX,40.8315271048226,-73.92886303221528,"{'latitude': '40.8315271048226', 'longitude': '-73.92886303221528', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",10930.0,50.0,5.0,35.0,27.0,,,,,,,,,,,,
98798,53965352,2022-04-20T14:42:29.000,DOHMH,Department of Health and Mental Hygiene,Construction Lead Dust,In Common Areas,3+ Family Apartment Building,11226.0,1705 CATON AVENUE,CATON AVENUE,PARADE PLACE,EAST   17 STREET,PARADE PLACE,EAST   17 STREET,ADDRESS,BROOKLYN,CATON AVENUE,In Progress,14 BROOKLYN,3050600001.0,BROOKLYN,994127.0,176453.0,ONLINE,Unspecified,BROOKLYN,40.65099388458564,-73.96440523742638,"{'latitude': '40.65099388458564', 'longitude': '-73.96440523742638', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",13510.0,60.0,2.0,11.0,43.0,,,,,,,,,,,,
99883,53959786,2022-04-20T12:05:05.000,DOHMH,Department of Health and Mental Hygiene,Construction Lead Dust,Coming into Apartment,3+ Family Apartment Building,10013.0,45 LISPENARD STREET,LISPENARD STREET,CHURCH STREET,BROADWAY,CHURCH STREET,BROADWAY,ADDRESS,NEW YORK,LISPENARD STREET,In Progress,01 MANHATTAN,1002100026.0,MANHATTAN,983354.0,201489.0,PHONE,Unspecified,MANHATTAN,40.719717439809614,-74.0032323369903,"{'latitude': '40.719717439809614', 'longitude': '-74.0032323369903', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",12076.0,56.0,4.0,32.0,1.0,,,,,,,,,,,,
105377,53951687,2022-04-19T17:25:30.000,DOHMH,Department of Health and Mental Hygiene,Construction Lead Dust,In Common Areas,Other (Explain Below),10010.0,225 EAST   26 STREET,EAST   26 STREET,3 AVENUE,2 AVENUE,3 AVENUE,2 AVENUE,ADDRESS,NEW YORK,EAST   26 STREET,In Progress,06 MANHATTAN,1009070016.0,MANHATTAN,989590.0,208991.0,ONLINE,Unspecified,MANHATTAN,40.74030702780833,-73.98072989544673,"{'latitude': '40.74030702780833', 'longitude': '-73.98072989544673', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",12073.0,71.0,4.0,50.0,7.0,,,,,,,,,,,,
108228,53955160,2022-04-19T11:29:47.000,DOHMH,Department of Health and Mental Hygiene,Construction Lead Dust,In Common Areas,3+ Family Apartment Building,11211.0,191 BEDFORD AVENUE,BEDFORD AVENUE,NORTH    7 STREET,NORTH    6 STREET,NORTH    7 STREET,NORTH    6 STREET,ADDRESS,BROOKLYN,BEDFORD AVENUE,In Progress,01 BROOKLYN,3023280004.0,BROOKLYN,995889.0,200703.0,ONLINE,Unspecified,BROOKLYN,40.71755244798195,-73.95801344909206,"{'latitude': '40.71755244798195', 'longitude': '-73.95801344909206', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",17613.0,36.0,2.0,38.0,57.0,,,,,,,,,,,,
108598,53950532,2022-04-19T10:48:08.000,DOHMH,Department of Health and Mental Hygiene,Construction Lead Dust,Common Areas and Apartment,3+ Family Apartment Building,10012.0,224 ELIZABETH STREET,ELIZABETH STREET,PRINCE STREET,EAST HOUSTON STREET,PRINCE STREET,EAST HOUSTON STREET,ADDRESS,NEW YORK,ELIZABETH STREET,In Progress,02 MANHATTAN,1005070001.0,MANHATTAN,985908.0,202693.0,ONLINE,Unspecified,MANHATTAN,40.72302201917793,-73.99401843697498,"{'latitude': '40.72302201917793', 'longitude': '-73.99401843697498', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",12075.0,57.0,4.0,32.0,2.0,,,,,,,,,,,,
111951,53947302,2022-04-18T22:47:11.000,DOHMH,Department of Health and Mental Hygiene,Construction Lead Dust,Common Areas and Apartment,3+ Family Apartment Building,10025.0,251 WEST   92 STREET,WEST   92 STREET,BROADWAY,WEST END AVENUE,BROADWAY,WEST END AVENUE,ADDRESS,NEW YORK,WEST   92 STREET,In Progress,07 MANHATTAN,1012400010.0,MANHATTAN,991398.0,227945.0,ONLINE,Unspecified,MANHATTAN,40.79232957089446,-73.97418532912374,"{'latitude': '40.79232957089446', 'longitude': '-73.97418532912374', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",12422.0,20.0,4.0,19.0,15.0,,,,,,,,,,,,
117416,53943022,2022-04-18T09:52:48.000,DOHMH,Department of Health and Mental Hygiene,Construction Lead Dust,Coming into Apartment,3+ Family Apartment Building,10032.0,25 FORT WASHINGTON AVENUE,FORT WASHINGTON AVENUE,BROADWAY,WEST  160 STREET,BROADWAY,WEST  160 STREET,ADDRESS,NEW YORK,FT WASHINGTON AVENUE,In Progress,12 MANHATTAN,1021360075.0,MANHATTAN,999555.0,243856.0,PHONE,Unspecified,MANHATTAN,40.83599044961439,-73.94469042537882,"{'latitude': '40.835990449614386', 'longitude': '-73.94469042537882', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",13090.0,47.0,4.0,23.0,21.0,,,,,,,,,,,,
117933,53948351,2022-04-18T08:48:21.000,DOHMH,Department of Health and Mental Hygiene,Construction Lead Dust,In Common Areas,3+ Family Apartment Building,11206.0,179 HOPKINS STREET,HOPKINS STREET,TOMPKINS AVENUE,THROOP AVENUE,TOMPKINS AVENUE,THROOP AVENUE,ADDRESS,BROOKLYN,HOPKINS STREET,In Progress,03 BROOKLYN,3017220047.0,BROOKLYN,999605.0,194188.0,ONLINE,Unspecified,BROOKLYN,40.6996646497464,-73.94462320423065,"{'latitude': '40.6996646497464', 'longitude': '-73.94462320423065', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",17213.0,69.0,2.0,49.0,51.0,,,,,,,,,,,,
127723,53929992,2022-04-16T16:40:18.000,DOHMH,Department of Health and Mental Hygiene,Construction Lead Dust,Common Areas and Apartment,3+ Family Apartment Building,10453.0,105 EAST  177 STREET,EAST  177 STREET,MORRIS AVENUE,GRAND CONCOURSE,MORRIS AVENUE,GRAND CONCOURSE,ADDRESS,BRONX,EAST  177 STREET,In Progress,05 BRONX,2028060001.0,BRONX,1009792.0,248827.0,PHONE,Unspecified,BRONX,40.8496107089785,-73.90767679862152,"{'latitude': '40.8496107089785', 'longitude': '-73.90767679862152', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",10931.0,6.0,5.0,29.0,29.0,,,,,,,,,,,,
