,Unnamed: 0,unique_key,created_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,status,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,:@computed_region_efsh_h5xi,:@computed_region_f5dn_yrer,:@computed_region_yeji_bk3q,:@computed_region_92fq_4b7q,:@computed_region_sbqj_enih,resolution_description,resolution_action_updated_date,bridge_highway_name,bridge_highway_segment,closed_date,road_ramp,facility_type,bridge_highway_direction,taxi_company_borough,taxi_pick_up_location,vehicle_type,due_date
155,57851,54001170,2022-04-25T16:59:00.000,DEP,Department of Environmental Protection,Lead,Lead Kit Request (Residential) (L10),,10027,201 WEST  121 STREET,WEST  121 STREET,ADAM CLAYTON POWELL JR BLVD,ST NICHOLAS AVE,,,ADDRESS,NEW YORK,,Closed,10 MANHATTAN,1019270029.0,MANHATTAN,997900,233159,PHONE,Unspecified,MANHATTAN,40.80663292486721,-73.9506930619585,"{'latitude': '40.80663292486721', 'longitude': '-73.9506930619585', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",12424.0,18,4,36,18,The Department of Environmental Protection investigated this complaint and created a Service Request to have a Lead Test Kit sent to the complainant.,2022-04-27T09:21:00.000,,,2022-04-27T09:21:00.000,,,,,,,
156,57885,54003497,2022-04-25T16:56:00.000,DEP,Department of Environmental Protection,Lead,Lead Kit Request (Residential) (L10),,10027,201 WEST  121 STREET,WEST  121 STREET,ADAM CLAYTON POWELL JR BLVD,ST NICHOLAS AVE,,,ADDRESS,NEW YORK,,Closed,10 MANHATTAN,1019270029.0,MANHATTAN,997900,233159,PHONE,Unspecified,MANHATTAN,40.80663292486721,-73.9506930619585,"{'latitude': '40.80663292486721', 'longitude': '-73.9506930619585', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",12424.0,18,4,36,18,The Department of Environmental Protection investigated this complaint and created a Service Request to have a Lead Test Kit sent to the complainant.,2022-04-26T08:09:00.000,,,2022-04-26T08:09:00.000,,,,,,,
180,61153,54006951,2022-04-25T10:43:00.000,DEP,Department of Environmental Protection,Lead,Lead Kit Request (Residential) (L10),,10002,101 CHRYSTIE STREET,CHRYSTIE STREET,HESTER ST,GRAND ST,,,ADDRESS,NEW YORK,,Closed,03 MANHATTAN,1003040021.0,MANHATTAN,985924,200833,ONLINE,Unspecified,MANHATTAN,40.71791676453905,-73.99396117640907,"{'latitude': '40.71791676453905', 'longitude': '-73.99396117640907', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",11723.0,70,4,32,2,The Department of Environmental Protection investigated this complaint and created a Service Request to have a Lead Test Kit sent to the complainant.,2022-04-25T15:06:00.000,,,2022-04-25T15:06:00.000,,,,,,,
188,63877,54009261,2022-04-25T00:01:00.000,DEP,Department of Environmental Protection,Lead,Lead Kit Request (Residential) (L10),,10027,150 CLAREMONT AVENUE,CLAREMONT AVENUE,W 122 ST,LA SALLE ST,,,ADDRESS,NEW YORK,,Closed,09 MANHATTAN,1019930053.0,MANHATTAN,994958,235592,ONLINE,Unspecified,MANHATTAN,40.81331488963938,-73.9613163596365,"{'latitude': '40.81331488963938', 'longitude': '-73.9613163596365', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",12424.0,37,4,23,17,The Department of Environmental Protection investigated this complaint and created a Service Request to have a Lead Test Kit sent to the complainant.,2022-04-25T15:07:00.000,,,2022-04-25T15:07:00.000,,,,,,,
195,64935,53999335,2022-04-24T21:15:00.000,DEP,Department of Environmental Protection,Lead,Lead Kit Request (Residential) (L10),,10009,254 EAST    7 STREET,EAST    7 STREET,AVENUE C,AVENUE D,,,ADDRESS,NEW YORK,,Closed,03 MANHATTAN,1003760019.0,MANHATTAN,990370,202932,ONLINE,Unspecified,MANHATTAN,40.72367605468633,-73.97792067229729,"{'latitude': '40.72367605468633', 'longitude': '-73.97792067229729', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",11729.0,70,4,50,5,The Department of Environmental Protection investigated this complaint and created a Service Request to have a Lead Test Kit sent to the complainant.,2022-04-25T15:08:00.000,,,2022-04-25T15:08:00.000,,,,,,,
208,77670,53992825,2022-04-23T08:45:00.000,DEP,Department of Environmental Protection,Lead,Lead Kit Request (Residential) (L10),,10002,275 CHERRY STREET,CHERRY STREET,RUTGERS ST,JEFFERSON ST,,,ADDRESS,NEW YORK,,Closed,03 MANHATTAN,1002470001.0,MANHATTAN,987653,198472,PHONE,Unspecified,MANHATTAN,40.711435887602136,-73.98772513818746,"{'latitude': '40.711435887602136', 'longitude': '-73.98772513818746', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",11723.0,70,4,32,4,The Department of Environmental Protection investigated this complaint and created a Service Request to have a Lead Test Kit sent to the complainant.,2022-04-25T15:08:00.000,,,2022-04-25T15:08:00.000,,,,,,,
211,80064,53976535,2022-04-22T22:31:00.000,DEP,Department of Environmental Protection,Lead,Lead Kit Request (Residential) (L10),,10009,524E EAST   20 STREET,EAST   20 STREET,20 STREET LOOP,20 STREET LOOP,,,ADDRESS,NEW YORK,,Closed,06 MANHATTAN,1009720001.0,MANHATTAN,990816,206464,ONLINE,Unspecified,MANHATTAN,40.733370212520605,-73.97630817694767,"{'latitude': '40.733370212520605', 'longitude': '-73.97630817694767', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",11729.0,71,4,51,7,The Department of Environmental Protection investigated this complaint and created a Service Request to have a Lead Test Kit sent to the complainant.,2022-04-25T15:08:00.000,,,2022-04-25T15:08:00.000,,,,,,,
229,91611,53975398,2022-04-21T12:29:00.000,DEP,Department of Environmental Protection,Lead,Lead Kit Request (Residential) (L10),,10002,460 GRAND STREET,GRAND STREET,ATTORNEY ST,PITT ST,,,ADDRESS,NEW YORK,,Closed,03 MANHATTAN,1003410001.0,MANHATTAN,988770,199788,PHONE,Unspecified,MANHATTAN,40.71504749366617,-73.9836951566632,"{'latitude': '40.71504749366617', 'longitude': '-73.9836951566632', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",11723.0,70,4,32,4,The Department of Environmental Protection investigated this complaint and created a Service Request to have a Lead Test Kit sent to the complainant.,2022-04-22T09:22:00.000,,,2022-04-22T09:22:00.000,,,,,,,
242,98567,53966620,2022-04-20T15:21:00.000,DEP,Department of Environmental Protection,Lead,Lead Kit Request (Residential) (L10),,10002,22 JACKSON STREET,JACKSON STREET,MADISON ST,CHERRY ST,,,ADDRESS,NEW YORK,,Closed,03 MANHATTAN,1002630001.0,MANHATTAN,989585,198975,PHONE,Unspecified,MANHATTAN,40.712815548832,-73.98075587905988,"{'latitude': '40.712815548832', 'longitude': '-73.98075587905988', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",11723.0,70,4,50,4,The Department of Environmental Protection investigated this complaint and created a Service Request to have a Lead Test Kit sent to the complainant.,2022-04-21T09:38:00.000,,,2022-04-21T09:38:00.000,,,,,,,
263,110258,53956455,2022-04-19T07:43:00.000,DEP,Department of Environmental Protection,Lead,Lead Kit Request (Residential) (L10),,10009,447 EAST   14 STREET,EAST   14 STREET,1 AVE,AVENUE A,,,ADDRESS,NEW YORK,,Closed,06 MANHATTAN,1009720001.0,MANHATTAN,989625,205441,ONLINE,Unspecified,MANHATTAN,40.73056313254449,-73.98060642947856,"{'latitude': '40.73056313254449', 'longitude': '-73.98060642947856', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",11729.0,71,4,51,7,The Department of Environmental Protection investigated this complaint and created a Service Request to have a Lead Test Kit sent to the complainant.,2022-04-19T11:12:00.000,,,2022-04-19T11:12:00.000,,,,,,,
276,115571,53942141,2022-04-18T12:57:00.000,DEP,Department of Environmental Protection,Lead,Lead Kit Request (Residential) (L10),,10032,559 WEST  156 STREET,WEST  156 STREET,AMSTERDAM AVE,BROADWAY,,,ADDRESS,NEW YORK,,Closed,12 MANHATTAN,1021150001.0,MANHATTAN,999193,243032,ONLINE,Unspecified,MANHATTAN,40.83372942790791,-73.9460004649577,"{'latitude': '40.83372942790791', 'longitude': '-73.9460004649577', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",13090.0,47,4,23,21,The Department of Environmental Protection investigated this complaint and created a Service Request to have a Lead Test Kit sent to the complainant.,2022-04-19T11:04:00.000,,,2022-04-19T11:04:00.000,,,,,,,
295,119337,53947478,2022-04-18T00:22:00.000,DEP,Department of Environmental Protection,Lead,Lead Kit Request (Residential) (L10),,10013,317 GREENWICH STREET,GREENWICH STREET,READE ST,DUANE ST,,,ADDRESS,NEW YORK,,Closed,01 MANHATTAN,1001410016.0,MANHATTAN,981263,200536,ONLINE,Unspecified,MANHATTAN,40.71710122493531,-74.0107752361909,"{'latitude': '40.71710122493531', 'longitude': '-74.0107752361909', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",12076.0,56,4,32,1,The Department of Environmental Protection investigated this complaint and created a Service Request to have a Lead Test Kit sent to the complainant.,2022-04-18T10:48:00.000,,,2022-04-18T10:48:00.000,,,,,,,
316,134126,53925334,2022-04-15T17:42:00.000,DEP,Department of Environmental Protection,Lead,Lead Kit Request (Residential) (L10),,10002,20 CONFUCIUS PLAZA,CONFUCIUS PLAZA,BOWERY,MARKET ST,,,ADDRESS,NEW YORK,,Closed,03 MANHATTAN,1002899001.0,MANHATTAN,985456,199467,ONLINE,Unspecified,MANHATTAN,40.71416749777877,-73.99564969439199,"{'latitude': '40.714167497778774', 'longitude': '-73.99564969439199', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",11723.0,70,4,32,2,The Department of Environmental Protection investigated this complaint and created a Service Request to have a Lead Test Kit sent to the complainant.,2022-04-18T10:47:00.000,,,2022-04-18T10:47:00.000,,,,,,,
317,134568,53921221,2022-04-15T16:38:00.000,DEP,Department of Environmental Protection,Lead,Lead Kit Request (Residential) (L10),,10009,399 EAST    8 STREET,EAST    8 STREET,AVENUE C,AVENUE D,,,ADDRESS,NEW YORK,,Closed,03 MANHATTAN,1003787501.0,MANHATTAN,991191,202778,ONLINE,Unspecified,MANHATTAN,40.72325275590604,-73.97495888224718,"{'latitude': '40.72325275590604', 'longitude': '-73.97495888224718', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",11729.0,70,4,50,5,The Department of Environmental Protection investigated this complaint and created a Service Request to have a Lead Test Kit sent to the complainant.,2022-04-18T10:47:00.000,,,2022-04-18T10:47:00.000,,,,,,,
335,141930,53916857,2022-04-14T15:54:00.000,DEP,Department of Environmental Protection,Lead,Lead Kit Request (Residential) (L10),,10002,35 LUDLOW STREET,LUDLOW STREET,HESTER ST,GRAND ST,,,ADDRESS,NEW YORK,,Closed,03 MANHATTAN,1003090001.0,MANHATTAN,986899,200148,ONLINE,Unspecified,MANHATTAN,40.71603636557658,-73.99044421003448,"{'latitude': '40.71603636557658', 'longitude': '-73.99044421003448', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",11723.0,70,4,32,4,The Department of Environmental Protection investigated this complaint and created a Service Request to have a Lead Test Kit sent to the complainant.,2022-04-15T09:28:00.000,,,2022-04-15T09:28:00.000,,,,,,,
336,142122,53919054,2022-04-14T15:32:00.000,DEP,Department of Environmental Protection,Lead,Lead Kit Request (Residential) (L10),,10027,166 WEST  129 STREET,WEST  129 STREET,LENOX AVE,ADAM CLAYTON POWELL JR BLVD,,,ADDRESS,NEW YORK,,Closed,10 MANHATTAN,1019130061.0,MANHATTAN,999168,234878,ONLINE,Unspecified,MANHATTAN,40.81134905280946,-73.94610893543535,"{'latitude': '40.81134905280946', 'longitude': '-73.94610893543535', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",12424.0,18,4,36,20,The Department of Environmental Protection investigated this complaint and created a Service Request to have a Lead Test Kit sent to the complainant.,2022-04-15T10:55:00.000,,,2022-04-15T10:55:00.000,,,,,,,
383,153661,53903541,2022-04-13T09:00:00.000,DEP,Department of Environmental Protection,Lead,Lead Kit Request (Residential) (L10),,10013,71 GRAND STREET,GRAND STREET,WOOSTER ST,GREENE ST,,,ADDRESS,NEW YORK,,Closed,02 MANHATTAN,1002290020.0,MANHATTAN,983456,202296,ONLINE,Unspecified,MANHATTAN,40.72193246991439,-74.00286446525605,"{'latitude': '40.72193246991439', 'longitude': '-74.00286446525605', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",12076.0,57,4,32,1,The Department of Environmental Protection investigated this complaint and created a Service Request to have a Lead Test Kit sent to the complainant.,2022-04-13T10:02:00.000,,,2022-04-13T10:02:00.000,,,,,,,
387,157791,53896676,2022-04-12T18:39:00.000,DEP,Department of Environmental Protection,Lead,Lead Kit Request (Residential) (L10),,10035,215 EAST  121 STREET,EAST  121 STREET,3 AVE,2 AVE,,,ADDRESS,NEW YORK,,Closed,11 MANHATTAN,1017860007.0,MANHATTAN,1001663,231074,ONLINE,Unspecified,MANHATTAN,40.80090355907231,-73.93710565261343,"{'latitude': '40.80090355907231', 'longitude': '-73.93710565261343', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",13093.0,7,4,35,16,The Department of Environmental Protection investigated this complaint and created a Service Request to have a Lead Test Kit sent to the complainant.,2022-04-13T09:33:00.000,,,2022-04-13T09:33:00.000,,,,,,,
443,170529,53886001,2022-04-11T08:51:00.000,DEP,Department of Environmental Protection,Lead,Lead Kit Request (Residential) (L10),,10039,2841 8 AVENUE,8 AVENUE,W 151 ST,W 152 ST,,,ADDRESS,NEW YORK,,Closed,10 MANHATTAN,1020460031.0,MANHATTAN,1001145,240549,ONLINE,Unspecified,MANHATTAN,40.82691078782849,-73.93895277585767,"{'latitude': '40.82691078782849', 'longitude': '-73.93895277585767', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",13097.0,18,4,36,20,The Department of Environmental Protection investigated this complaint and created a Service Request to have a Lead Test Kit sent to the complainant.,2022-04-11T14:46:00.000,,,2022-04-11T14:46:00.000,,,,,,,
444,170882,53888354,2022-04-11T08:14:00.000,DEP,Department of Environmental Protection,Lead,Lead Kit Request (Residential) (L10),,10013,396 BROOME STREET,BROOME STREET,MULBERRY ST,CENTRE MARKET PL,,,ADDRESS,NEW YORK,,Closed,02 MANHATTAN,1004810039.0,MANHATTAN,985032,201828,ONLINE,Unspecified,MANHATTAN,40.72064792393926,-73.99717888078536,"{'latitude': '40.72064792393926', 'longitude': '-73.99717888078536', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",12076.0,57,4,32,2,The Department of Environmental Protection investigated this complaint and created a Service Request to have a Lead Test Kit sent to the complainant.,2022-04-11T14:46:00.000,,,2022-04-11T14:46:00.000,,,,,,,
452,180757,53871143,2022-04-09T20:00:00.000,DEP,Department of Environmental Protection,Lead,Lead Kit Request (Residential) (L10),,10031,550 WEST  146 STREET,WEST  146 STREET,AMSTERDAM AVE,BROADWAY,,,ADDRESS,NEW YORK,,Closed,09 MANHATTAN,1020770055.0,MANHATTAN,998486,240400,ONLINE,Unspecified,MANHATTAN,40.82650651129392,-73.94856093623586,"{'latitude': '40.82650651129392', 'longitude': '-73.94856093623586', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",12428.0,37,4,23,19,The Department of Environmental Protection investigated this complaint and created a Service Request to have a Lead Test Kit sent to the complainant.,2022-04-11T14:45:00.000,,,2022-04-11T14:45:00.000,,,,,,,
475,191975,53866462,2022-04-08T12:50:00.000,DEP,Department of Environmental Protection,Lead,Lead Kit Request (Residential) (L10),,10032,560 WEST  170 STREET,WEST  170 STREET,AUDUBON AVE,ST NICHOLAS AVE,,,ADDRESS,NEW YORK,,Closed,12 MANHATTAN,1021260010.0,MANHATTAN,1001384,246016,ONLINE,Unspecified,MANHATTAN,40.84191566121065,-73.9380752254047,"{'latitude': '40.84191566121065', 'longitude': '-73.9380752254047', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",13090.0,47,4,39,21,The Department of Environmental Protection investigated this complaint and created a Service Request to have a Lead Test Kit sent to the complainant.,2022-04-11T10:26:00.000,,,2022-04-11T10:26:00.000,,,,,,,
486,198578,53855206,2022-04-07T16:05:00.000,DEP,Department of Environmental Protection,Lead,Lead Kit Request (Residential) (L10),,10002,90 COLUMBIA STREET,COLUMBIA STREET,RIVINGTON ST,STANTON ST,,,ADDRESS,NEW YORK,,Closed,03 MANHATTAN,1003230001.0,MANHATTAN,989873,200886,ONLINE,Unspecified,MANHATTAN,40.718060608215474,-73.97971542496222,"{'latitude': '40.718060608215474', 'longitude': '-73.97971542496222', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",11723.0,70,4,50,4,The Department of Environmental Protection investigated this complaint and created a Service Request to have a Lead Test Kit sent to the complainant.,2022-04-08T11:06:00.000,,,2022-04-08T11:06:00.000,,,,,,,
508,201295,53856322,2022-04-07T10:40:00.000,DEP,Department of Environmental Protection,Lead,Lead Kit Request (Residential) (L10),,10038,25 PARK ROW,PARK ROW,BEND,BEND,,,ADDRESS,NEW YORK,,Closed,01 MANHATTAN,1000907504.0,MANHATTAN,982380,198773,ONLINE,Unspecified,MANHATTAN,40.712262517804525,-74.00674530596599,"{'latitude': '40.712262517804525', 'longitude': '-74.00674530596599', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",11728.0,56,4,32,1,The Department of Environmental Protection investigated this complaint and created a Service Request to have a Lead Test Kit sent to the complainant.,2022-04-08T11:05:00.000,,,2022-04-08T11:05:00.000,,,,,,,
528,207745,53844390,2022-04-06T13:28:00.000,DEP,Department of Environmental Protection,Lead,Lead Kit Request (Residential) (L10),,10035,426 EAST  118 STREET,EAST  118 STREET,1 AVE,PLEASANT AVE,,,ADDRESS,NEW YORK,,Closed,11 MANHATTAN,1017110033.0,MANHATTAN,1002606,229646,ONLINE,Unspecified,MANHATTAN,40.79698218077054,-73.93370351777257,"{'latitude': '40.79698218077054', 'longitude': '-73.93370351777257', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",13093.0,7,4,35,16,The Department of Environmental Protection investigated this complaint and created a Service Request to have a Lead Test Kit sent to the complainant.,2022-04-07T10:18:00.000,,,2022-04-07T10:18:00.000,,,,,,,
537,209246,53844393,2022-04-06T10:24:00.000,DEP,Department of Environmental Protection,Lead,Lead Kit Request (Residential) (L10),,10027,63 WEST  127 STREET,WEST  127 STREET,5 AVE,LENOX AVE,,,ADDRESS,NEW YORK,,Closed,10 MANHATTAN,1017250011.0,MANHATTAN,999968,233850,PHONE,Unspecified,MANHATTAN,40.80852609149876,-73.94322135460769,"{'latitude': '40.808526091498756', 'longitude': '-73.94322135460769', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",12424.0,18,4,36,20,The Department of Environmental Protection investigated this complaint and created a Service Request to have a Lead Test Kit sent to the complainant.,2022-04-07T09:22:00.000,,,2022-04-07T09:22:00.000,,,,,,,
568,217467,53834179,2022-04-05T10:17:00.000,DEP,Department of Environmental Protection,Lead,Lead Kit Request (Residential) (L10),,10031,35 HAMILTON PLACE,HAMILTON PLACE,W 138 ST,W 139 ST,,,ADDRESS,NEW YORK,,Closed,09 MANHATTAN,1020700012.0,MANHATTAN,997407,238740,ONLINE,Unspecified,MANHATTAN,40.82195195634232,-73.95246295064027,"{'latitude': '40.82195195634232', 'longitude': '-73.95246295064027', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",12428.0,37,4,23,19,The Department of Environmental Protection investigated this complaint and created a Service Request to have a Lead Test Kit sent to the complainant.,2022-04-07T09:20:00.000,,,2022-04-07T09:20:00.000,,,,,,,
